activity_id,datetime_local,date,name,sport,distance_km,duration_s,pace_str,pace_s_per_km,avg_hr,max_hr,avg_cadence_spm,avg_power,avg_gct_ms,avg_vert_osc_mm,avg_vert_ratio,avg_stride_m,vo2max,aerobic_te,anaerobic_te,training_load,rpe,body_battery_delta,calories,elev_gain_m,location,hr_z1_s,hr_z2_s,hr_z3_s,hr_z4_s,hr_z5_s
15815600262,2024-06-09T05:58:45,2024-06-09,Mumbai Running,RUNNING,12.003,5133.0,07:08,427.7,182.0,191.0,158.0,215.0,289.0,8.8,10.01,0.885,39.0,5.0,0.0,339.5,80.0,-17.0,3326.8758799999996,600.0,Mumbai,,,,,
15849147397,2024-06-11T07:08:43,2024-06-11,Mumbai - Base,RUNNING,6.006,2815.0,07:49,468.7,175.0,185.0,156.0,198.0,292.9,8.4,10.31,0.816,39.0,3.4000000953674316,0.0,114.5,50.0,-14.0,1617.3477199999998,1500.0,Mumbai,,,,,
15909524563,2024-06-14T20:26:21,2024-06-14,Gurgaon - Interval 400 m,RUNNING,8.479,4629.0,09:06,545.9,176.0,204.0,108.0,164.0,273.0,8.6,9.11,1.017,39.0,5.0,4.400000095367432,500.3,80.0,0.0,2761.22318,3900.0,Gurgaon,,,,,
15965693977,2024-06-18T07:28:44,2024-06-18,Mumbai - Base,RUNNING,6.489,3003.0,07:43,462.9,174.0,188.0,158.0,205.0,291.9,8.5,10.25,0.832,38.0,3.799999952316284,0.0,148.8,50.0,-14.0,1759.8084,1900.0,Mumbai,,,,,
16001263118,2024-06-20T07:52:53,2024-06-20,Mumbai - Interval 400 m,RUNNING,5.777,2881.0,08:19,498.7,178.0,200.0,120.0,173.0,270.3,8.7,9.18,0.984,39.0,4.599999904632568,3.799999952316284,355.3,80.0,-18.0,1822.6587,1100.0,Mumbai,,,,,
16039487959,2024-06-22T17:40:11,2024-06-22,Mumbai Running,RUNNING,3.002,1746.0,09:42,581.5,150.0,178.0,130.0,149.0,299.0,7.4,9.74,0.801,39.0,2.5999999046325684,0.0,57.2,40.0,-3.0,783.53374,600.0,Mumbai,,,,,
16049707434,2024-06-23T11:21:14,2024-06-23,Mumbai Running,RUNNING,9.006,4012.0,07:25,445.5,184.0,198.0,154.0,208.0,286.3,8.5,9.75,0.875,38.0,5.0,1.7999999523162842,304.6,100.0,-17.0,2543.3421399999997,2400.0,Mumbai,,,,,
16390703737,2024-07-13T19:31:50,2024-07-13,Mumbai Running,RUNNING,5.005,2504.0,08:20,500.3,183.0,195.0,146.0,190.0,298.7,8.5,10.43,0.819,38.0,3.9000000953674316,0.0,118.1,50.0,-9.0,1449.7469199999998,700.0,Mumbai,,,,,
16432066465,2024-07-16T06:46:23,2024-07-16,Mumbai Running,RUNNING,5.133,2284.0,07:25,445.0,182.0,199.0,156.0,207.0,290.4,8.7,10.15,0.854,38.0,4.699999809265137,0.0,169.2,60.0,-9.0,1416.2267599999998,1500.0,Mumbai,,,,,
16507842695,2024-07-20T17:12:24,2024-07-20,Mumbai Running,RUNNING,5.333,2326.0,07:16,436.1,188.0,206.0,156.0,221.0,288.8,8.8,10.02,0.882,37.0,5.0,3.4000000953674316,288.7,70.0,-16.0,1495.8371399999999,1700.0,Mumbai,,,,,
16520414298,2024-07-21T12:19:27,2024-07-21,Mumbai Running,RUNNING,10.004,4479.0,07:28,447.7,184.0,198.0,158.0,210.0,288.8,8.5,10.11,0.842,37.0,5.0,1.100000023841858,240.9,90.0,-7.0,2660.6627,3800.0,Mumbai,,,,,
16577197454,2024-07-24T17:33:23,2024-07-24,Mumbai Running,RUNNING,5.764,2459.0,07:07,426.6,181.0,190.0,160.0,225.0,285.3,8.7,9.92,0.882,37.0,5.0,0.0,194.6,50.0,0.0,1541.92736,1500.0,Mumbai,,,,,
16599830816,2024-07-27T08:01:31,2024-07-27,Mumbai Running,RUNNING,5.008,2287.0,07:37,456.7,175.0,186.0,158.0,201.0,290.8,8.4,10.27,0.821,38.0,3.9000000953674316,0.0,130.9,50.0,-13.0,1324.04632,1000.0,Mumbai,,,,,
16609028331,2024-07-28T12:00:34,2024-07-28,Mumbai Running,RUNNING,5.044,2182.0,07:13,432.6,179.0,188.0,158.0,216.0,283.0,8.5,9.89,0.859,38.0,4.199999809265137,0.20000000298023224,169.8,80.0,-9.0,1365.94652,5400.0,Mumbai,,,,,
