date,sleep_total_min,sleep_deep_min,sleep_light_min,sleep_rem_min,sleep_awake_min,sleep_score,sleep_quality_score,sleep_recovery_score,resp_avg,sleep_stress_avg,restless_moments,hrv_overnight_ms,hrv_status,hrv_weekly_avg,overnight_hr,rhr,spo2_status,vo2max_running,vo2max_fitnessage,bio_age,bmi,acute_load,chronic_load,acwr,acwr_status,training_status,fitness_trend,readiness_score,readiness_level,recovery_time_hr,pred_5k_s,pred_10k_s,pred_half_s,pred_marathon_s
2024-06-05,,,,,,,,,,,,,,46.0,,,,,,,,286.0,568.0,0.5,LOW,UNPRODUCTIVE,DECREASING,94.0,HIGH,879.0,1741.0,3696.0,8482.0,19188.0
2024-06-06,499.0,66.0,313.0,120.0,13.0,83.0,80.0,67.0,13.0,21.4,45.0,,,47.0,,,,,,,,245.0,534.0,0.4,LOW,UNPRODUCTIVE,DECREASING,100.0,PRIME,1.0,1742.0,3695.0,8480.0,19186.0
2024-06-07,372.0,74.0,241.0,57.0,29.0,70.0,74.0,62.0,14.0,24.1,46.0,,,46.0,,59.0,,,50.7,18.4,21.8,204.0,503.0,0.4,LOW,UNPRODUCTIVE,DECREASING,81.0,HIGH,1.0,1741.0,3694.0,8481.0,19192.0
2024-06-08,485.0,68.0,288.0,129.0,12.0,83.0,79.0,66.0,13.0,21.8,57.0,,,43.0,,59.0,,,50.7,18.4,21.8,163.0,474.0,0.3,LOW,UNPRODUCTIVE,DECREASING,86.0,HIGH,1.0,1744.0,3700.0,8504.0,19249.0
2024-06-09,306.0,61.0,245.0,0.0,28.0,51.0,65.0,76.0,12.0,17.2,41.0,,,42.0,,,,41.0,,,,555.0,526.0,1.0,OPTIMAL,MAINTAINING,NO_CHANGE,52.0,MODERATE,131.0,1740.0,3691.0,8493.0,19317.0
2024-06-10,526.0,73.0,360.0,93.0,19.0,84.0,79.0,76.0,12.0,17.1,40.0,,,42.0,,,,,,,,471.0,503.0,0.9,OPTIMAL,MAINTAINING,NO_CHANGE,1.0,POOR,4167.0,1740.0,3692.0,8496.0,19328.0
2024-06-11,419.0,47.0,313.0,59.0,16.0,79.0,84.0,100.0,12.0,8.8,44.0,,,43.0,,,,41.0,,,,532.0,507.0,1.0,OPTIMAL,MAINTAINING,NO_CHANGE,26.0,LOW,2861.0,1744.0,3702.0,8522.0,19391.0
2024-06-12,415.0,61.0,288.0,66.0,4.0,81.0,90.0,99.0,12.0,10.2,36.0,,,45.0,,,,,,,,434.0,487.0,0.8,OPTIMAL,MAINTAINING,NO_CHANGE,57.0,MODERATE,1410.0,1745.0,3703.0,8527.0,19405.0
2024-06-13,,,,,,,,,,,,,,45.0,,,,,,,,376.0,461.0,0.8,OPTIMAL,MAINTAINING,NO_CHANGE,77.0,HIGH,1.0,1745.0,3704.0,8529.0,19411.0
2024-06-14,11.0,0.0,11.0,0.0,0.0,29.0,83.0,93.0,13.0,11.8,4.0,,,48.0,,,,41.0,,,,955.0,551.0,1.7,HIGH,PRODUCTIVE,NO_CHANGE,36.0,LOW,448.0,1721.0,3672.0,8475.0,19313.0
2024-06-15,,,,,,,,,,,,,,51.0,,,,,,,,833.0,531.0,1.5,HIGH,PRODUCTIVE,NO_CHANGE,2.0,POOR,3809.0,1721.0,3672.0,8475.0,19309.0
2024-06-16,,,,,,,,,,,,,,53.0,,,,,,,,712.0,512.0,1.3,OPTIMAL,PRODUCTIVE,NO_CHANGE,24.0,POOR,2356.0,1724.0,3677.0,8487.0,19334.0
2024-06-17,389.0,68.0,271.0,50.0,20.0,74.0,79.0,78.0,12.0,16.2,39.0,,,55.0,,,,,,,,591.0,498.0,1.1,OPTIMAL,PRODUCTIVE,NO_CHANGE,57.0,MODERATE,876.0,1722.0,3674.0,8481.0,19323.0
